invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,,invoice_date,
I100782,C582964,Male,55,Food & Beverage,3,15.69,Debit Card,11/3/2022,Zorlu Center,,11/3/2022,
I100791,C289735,Female,39,Cosmetics,4,162.64,Cash,11/10/2021,Metropol AVM,,11/10/2021,
I100793,C328805,Male,29,Cosmetics,3,121.98,Cash,15-03-2021,Istinye Park,,15-03-2021,
I100795,C232822,Male,62,Books,2,30.3,Debit Card,6/7/2022,Kanyon,,6/7/2022,
I100797,C224221,Male,23,Shoes,4,2400.68,Credit Card,17-10-2021,Metropol AVM,,17-10-2021,
I100803,C273636,Female,38,Books,5,75.75,Cash,24-02-2023,Mall of Istanbul,,24-02-2023,
I100812,C208761,Female,66,Clothing,5,1500.4,Credit Card,24-03-2022,Metropol AVM,,24-03-2022,
I100813,C250804,Male,63,Clothing,2,600.16,Cash,18-03-2022,Emaar Square Mall,,18-03-2022,
I100814,C130818,Female,38,Books,3,45.45,Credit Card,12/8/2022,Mall of Istanbul,,12/8/2022,
I100815,C222582,Male,50,Toys,4,143.36,Cash,19-04-2022,Kanyon,,19-04-2022,
I100818,C151068,Female,21,Food & Beverage,3,15.69,Cash,8/1/2021,Mall of Istanbul,,8/1/2021,
I100820,C180870,Male,20,Food & Beverage,2,10.46,Cash,26-12-2021,Metrocity,,26-12-2021,
I100822,C336505,Male,55,Cosmetics,1,40.66,Cash,15-11-2021,Zorlu Center,,15-11-2021,
I100829,C115788,Male,32,Souvenir,5,58.65,Credit Card,30-07-2021,Istinye Park,,30-07-2021,
I100835,C259176,Female,43,Clothing,5,1500.4,Debit Card,27-08-2022,Viaport Outlet,,27-08-2022,
I100837,C827434,Male,65,Clothing,1,300.08,Cash,12/1/2023,Cevahir AVM,,12/1/2023,
I100842,C143467,Female,45,Food & Beverage,5,26.15,Credit Card,8/6/2021,Forum Istanbul,,8/6/2021,
I100843,C170564,Female,54,Clothing,4,1200.32,Debit Card,17-01-2022,Metropol AVM,,17-01-2022,
I100851,C256797,Female,32,Cosmetics,1,40.66,Credit Card,10/9/2022,Istinye Park,,10/9/2022,
I100855,C125109,Female,63,Clothing,3,900.24,Credit Card,25-06-2021,Emaar Square Mall,,25-06-2021,
I100856,C475330,Male,44,Food & Beverage,3,15.69,Cash,9/6/2022,Metropol AVM,,9/6/2022,
I100861,C281937,Female,49,Cosmetics,2,81.32,Cash,24-12-2022,Viaport Outlet,,24-12-2022,
I100863,C302400,Male,35,Food & Beverage,2,10.46,Cash,4/1/2023,Emaar Square Mall,,4/1/2023,
I100865,C234663,Female,44,Cosmetics,3,121.98,Cash,10/2/2022,Istinye Park,,10/2/2022,
I100866,C265260,Female,54,Food & Beverage,3,15.69,Cash,16-08-2021,Metrocity,,16-08-2021,
I100870,C236060,Male,46,Books,2,30.3,Cash,2/3/2023,Metrocity,,2/3/2023,
I100875,C232349,Female,20,Toys,2,71.68,Cash,2/9/2021,Mall of Istanbul,,2/9/2021,
I100880,C217725,Female,39,Shoes,3,1800.51,Cash,13-01-2021,Metropol AVM,,13-01-2021,
I100881,C332806,Male,32,Souvenir,1,11.73,Debit Card,6/5/2021,Kanyon,,6/5/2021,
I100884,C729531,Female,37,Souvenir,1,11.73,Cash,15-02-2023,Metrocity,,15-02-2023,
I100885,C102033,Male,38,Books,5,75.75,Cash,1/9/2021,Mall of Istanbul,,1/9/2021,
I100886,C676444,Female,41,Cosmetics,5,203.3,Cash,19-12-2021,Metrocity,,19-12-2021,
I100897,C402407,Male,61,Shoes,4,2400.68,Credit Card,5/10/2022,Kanyon,,5/10/2022,
I100899,C256232,Male,30,Clothing,5,1500.4,Cash,23-06-2022,Kanyon,,23-06-2022,
I100900,C221280,Male,20,Food & Beverage,5,26.15,Cash,22-08-2021,Viaport Outlet,,22-08-2021,
I100901,C178198,Female,41,Clothing,1,300.08,Debit Card,17-06-2022,Kanyon,,17-06-2022,
I100903,C702152,Female,21,Clothing,3,900.24,Debit Card,20-12-2021,Metrocity,,20-12-2021,
I100904,C138573,Male,32,Food & Beverage,5,26.15,Debit Card,23-12-2022,Kanyon,,23-12-2022,
I100911,C330379,Female,18,Technology,1,1050,Credit Card,29-08-2021,Metrocity,,29-08-2021,
I100913,C229817,Female,41,Shoes,4,2400.68,Cash,26-08-2022,Viaport Outlet,,26-08-2022,
I100914,C299493,Female,22,Food & Beverage,1,5.23,Credit Card,17-09-2022,Kanyon,,17-09-2022,
I100919,C189282,Female,31,Cosmetics,1,40.66,Credit Card,4/5/2021,Kanyon,,4/5/2021,
I100921,C323178,Female,53,Cosmetics,4,162.64,Credit Card,25-08-2021,Metrocity,,25-08-2021,
I100922,C185007,Female,31,Cosmetics,3,121.98,Cash,19-12-2021,Mall of Istanbul,,19-12-2021,
I100923,C139812,Female,41,Food & Beverage,1,5.23,Credit Card,8/4/2022,Istinye Park,,8/4/2022,
I100929,C224506,Male,59,Cosmetics,1,40.66,Credit Card,12/2/2021,Mall of Istanbul,,12/2/2021,
I100932,C204475,Male,43,Clothing,2,600.16,Cash,28-10-2022,Mall of Istanbul,,28-10-2022,
I100936,C331442,Female,35,Clothing,1,300.08,Debit Card,21-06-2021,Mall of Istanbul,,21-06-2021,
I100953,C250015,Female,46,Shoes,4,2400.68,Cash,25-02-2022,Istinye Park,,25-02-2022,
I100960,C156642,Female,57,Books,3,45.45,Cash,31-01-2023,Kanyon,,31-01-2023,
I100961,C157517,Female,47,Clothing,2,600.16,Cash,27-04-2022,Forum Istanbul,,27-04-2022,
I100963,C500323,Female,35,Books,1,15.15,Debit Card,17-06-2021,Cevahir AVM,,17-06-2021,
I100964,C253827,Male,29,Cosmetics,4,162.64,Cash,19-07-2021,Mall of Istanbul,,19-07-2021,
I100965,C336119,Female,63,Shoes,4,2400.68,Cash,25-06-2021,Emaar Square Mall,,25-06-2021,
I100969,C242347,Male,51,Clothing,1,300.08,Credit Card,9/6/2021,Istinye Park,,9/6/2021,
I100977,C221903,Female,27,Toys,3,107.52,Debit Card,5/9/2022,Metrocity,,5/9/2022,
I100978,C172330,Female,24,Cosmetics,5,203.3,Cash,18-06-2022,Metrocity,,18-06-2022,
I100981,C116368,Female,33,Clothing,2,600.16,Credit Card,29-01-2023,Metropol AVM,,29-01-2023,
I100983,C203462,Female,67,Clothing,1,300.08,Credit Card,29-05-2022,Zorlu Center,,29-05-2022,
I100988,C202289,Male,37,Clothing,2,600.16,Cash,27-09-2022,Istinye Park,,27-09-2022,
I100991,C326660,Male,29,Shoes,5,3000.85,Debit Card,7/3/2021,Metropol AVM,,7/3/2021,
I100998,C253884,Male,24,Toys,3,107.52,Debit Card,10/9/2021,Kanyon,,10/9/2021,
I101008,C314812,Male,62,Shoes,3,1800.51,Cash,9/4/2022,Istinye Park,,9/4/2022,
I101010,C766878,Female,56,Clothing,2,600.16,Debit Card,7/3/2022,Emaar Square Mall,,7/3/2022,
I101017,C124932,Female,40,Shoes,5,3000.85,Cash,24-07-2022,Mall of Istanbul,,24-07-2022,
I101018,C266367,Female,26,Food & Beverage,1,5.23,Debit Card,20-12-2022,Forum Istanbul,,20-12-2022,
I101022,C237146,Female,25,Toys,3,107.52,Credit Card,21-09-2021,Kanyon,,21-09-2021,
I101031,C215753,Female,52,Cosmetics,4,162.64,Credit Card,18-11-2021,Metropol AVM,,18-11-2021,
I101034,C722304,Male,19,Toys,5,179.2,Cash,26-02-2022,Metrocity,,26-02-2022,
I101037,C216533,Female,30,Souvenir,2,23.46,Cash,7/9/2021,Forum Istanbul,,7/9/2021,
I101038,C144914,Female,42,Technology,2,2100,Debit Card,2/7/2021,Cevahir AVM,,2/7/2021,
I101043,C289681,Female,32,Clothing,1,300.08,Credit Card,1/12/2022,Cevahir AVM,,1/12/2022,
I101048,C186345,Male,19,Clothing,2,600.16,Cash,6/9/2022,Metrocity,,6/9/2022,
I101051,C722098,Male,59,Shoes,3,1800.51,Credit Card,13-06-2021,Mall of Istanbul,,13-06-2021,
I101052,C844541,Male,66,Technology,3,3150,Debit Card,25-06-2022,Kanyon,,25-06-2022,
I101059,C236719,Female,44,Clothing,5,1500.4,Cash,25-08-2021,Mall of Istanbul,,25-08-2021,
I101060,C131806,Female,54,Clothing,2,600.16,Credit Card,16-11-2021,Metrocity,,16-11-2021,
I101070,C330130,Female,18,Technology,1,1050,Credit Card,21-04-2022,Kanyon,,21-04-2022,
I101083,C165321,Female,57,Clothing,3,900.24,Debit Card,4/2/2021,Kanyon,,4/2/2021,
I101084,C943266,Female,26,Food & Beverage,1,5.23,Cash,18-10-2022,Kanyon,,18-10-2022,
I101086,C168165,Female,45,Shoes,4,2400.68,Debit Card,12/2/2022,Kanyon,,12/2/2022,
I101088,C824542,Female,28,Toys,5,179.2,Debit Card,1/1/2021,Kanyon,,1/1/2021,
I101089,C392188,Male,39,Clothing,5,1500.4,Credit Card,6/5/2021,Mall of Istanbul,,6/5/2021,
I101093,C301696,Female,43,Clothing,4,1200.32,Cash,5/7/2021,Mall of Istanbul,,5/7/2021,
I101103,C194266,Female,45,Shoes,4,2400.68,Cash,6/10/2021,Forum Istanbul,,6/10/2021,
I101113,C315161,Female,64,Shoes,3,1800.51,Cash,12/4/2021,Forum Istanbul,,12/4/2021,
I101115,C540954,Female,30,Cosmetics,4,162.64,Credit Card,1/8/2021,Metrocity,,1/8/2021,
I101130,C298295,Male,45,Food & Beverage,3,15.69,Cash,10/9/2022,Kanyon,,10/9/2022,
I101131,C329519,Female,22,Cosmetics,5,203.3,Credit Card,22-08-2022,Metropol AVM,,22-08-2022,
I101133,C270664,Female,63,Clothing,2,600.16,Cash,22-01-2022,Kanyon,,22-01-2022,
I101135,C689947,Male,48,Clothing,5,1500.4,Credit Card,13-01-2021,Kanyon,,13-01-2021,
I101140,C122069,Female,20,Clothing,5,1500.4,Credit Card,26-07-2022,Forum Istanbul,,26-07-2022,
I101143,C293655,Male,46,Souvenir,5,58.65,Debit Card,25-02-2022,Mall of Istanbul,,25-02-2022,
I101146,C303865,Male,26,Food & Beverage,2,10.46,Credit Card,25-12-2022,Viaport Outlet,,25-12-2022,
I101148,C680169,Female,26,Cosmetics,4,162.64,Cash,21-04-2022,Cevahir AVM,,21-04-2022,
I101152,C276049,Male,30,Clothing,3,900.24,Cash,12/11/2021,Kanyon,,12/11/2021,
I101154,C453116,Male,61,Clothing,4,1200.32,Credit Card,5/7/2021,Metrocity,,5/7/2021,
I101155,C114131,Female,58,Clothing,5,1500.4,Cash,8/6/2022,Metropol AVM,,8/6/2022,
I101156,C251408,Female,63,Clothing,2,600.16,Cash,7/12/2021,Zorlu Center,,7/12/2021,
I101165,C325003,Female,34,Clothing,1,300.08,Debit Card,21-08-2022,Kanyon,,21-08-2022,
I101167,C492992,Female,39,Food & Beverage,5,26.15,Credit Card,31-01-2022,Istinye Park,,31-01-2022,
I101171,C786797,Female,64,Clothing,3,900.24,Cash,23-09-2021,Mall of Istanbul,,23-09-2021,
I101176,C195529,Female,31,Food & Beverage,1,5.23,Cash,17-06-2021,Istinye Park,,17-06-2021,
I101181,C167199,Male,25,Food & Beverage,1,5.23,Cash,22-12-2022,Istinye Park,,22-12-2022,
I101183,C274709,Female,41,Cosmetics,1,40.66,Debit Card,10/3/2022,Metropol AVM,,10/3/2022,
I101185,C269338,Female,60,Cosmetics,3,121.98,Credit Card,20-05-2022,Istinye Park,,20-05-2022,
I101189,C301407,Male,68,Souvenir,2,23.46,Cash,11/5/2022,Metrocity,,11/5/2022,
I101190,C115198,Female,66,Food & Beverage,1,5.23,Credit Card,2/4/2021,Istinye Park,,2/4/2021,
I101192,C298571,Male,66,Toys,5,179.2,Cash,15-11-2021,Forum Istanbul,,15-11-2021,
I101193,C298074,Female,69,Food & Beverage,5,26.15,Credit Card,4/5/2021,Viaport Outlet,,4/5/2021,
I101201,C296680,Male,51,Cosmetics,2,81.32,Credit Card,20-06-2022,Forum Istanbul,,20-06-2022,
I101204,C147656,Female,42,Books,4,60.6,Cash,6/8/2022,Mall of Istanbul,,6/8/2022,
I101210,C316485,Female,20,Clothing,5,1500.4,Credit Card,4/7/2022,Zorlu Center,,4/7/2022,
I101214,C229296,Female,40,Clothing,2,600.16,Credit Card,11/3/2021,Viaport Outlet,,11/3/2021,
I101219,C296170,Female,52,Books,1,15.15,Credit Card,30-04-2022,Kanyon,,30-04-2022,
I101220,C322664,Male,67,Souvenir,4,46.92,Cash,6/10/2022,Metropol AVM,,6/10/2022,
I101229,C256902,Female,19,Food & Beverage,3,15.69,Cash,5/7/2022,Kanyon,,5/7/2022,
I101237,C239679,Female,65,Clothing,3,900.24,Credit Card,10/2/2021,Mall of Istanbul,,10/2/2021,
I101239,C362001,Female,25,Technology,2,2100,Credit Card,14-03-2021,Metrocity,,14-03-2021,
I101247,C178321,Male,35,Clothing,3,900.24,Credit Card,25-02-2021,Mall of Istanbul,,25-02-2021,
I101252,C998123,Female,23,Toys,2,71.68,Credit Card,21-01-2021,Forum Istanbul,,21-01-2021,
I101255,C164171,Female,66,Food & Beverage,2,10.46,Cash,11/12/2021,Cevahir AVM,,11/12/2021,
I101256,C129775,Male,50,Clothing,2,600.16,Credit Card,26-06-2022,Mall of Istanbul,,26-06-2022,
I101263,C268120,Male,69,Food & Beverage,4,20.92,Credit Card,12/12/2022,Mall of Istanbul,,12/12/2022,
I101279,C237894,Female,48,Technology,3,3150,Cash,22-06-2022,Metropol AVM,,22-06-2022,
I101280,C663744,Female,39,Clothing,2,600.16,Credit Card,26-03-2022,Mall of Istanbul,,26-03-2022,
I101281,C177781,Male,50,Clothing,4,1200.32,Debit Card,2/3/2022,Emaar Square Mall,,2/3/2022,
I101282,C317379,Female,50,Clothing,3,900.24,Cash,30-06-2022,Viaport Outlet,,30-06-2022,
I101283,C294350,Female,48,Food & Beverage,1,5.23,Credit Card,19-06-2022,Metrocity,,19-06-2022,
I101288,C476777,Male,36,Food & Beverage,1,5.23,Cash,24-07-2022,Kanyon,,24-07-2022,
I101290,C208569,Female,31,Souvenir,4,46.92,Credit Card,13-02-2023,Mall of Istanbul,,13-02-2023,
I101296,C132787,Female,41,Cosmetics,2,81.32,Debit Card,14-01-2023,Istinye Park,,14-01-2023,
I101301,C211329,Male,39,Food & Beverage,5,26.15,Credit Card,12/12/2022,Kanyon,,12/12/2022,
I101305,C131548,Female,66,Toys,3,107.52,Cash,7/3/2022,Forum Istanbul,,7/3/2022,
I101306,C162468,Female,42,Clothing,3,900.24,Debit Card,21-05-2022,Kanyon,,21-05-2022,
I101308,C551127,Male,18,Shoes,2,1200.34,Credit Card,12/3/2021,Mall of Istanbul,,12/3/2021,
I101312,C261678,Male,50,Clothing,5,1500.4,Cash,29-09-2021,Mall of Istanbul,,29-09-2021,
I101313,C463777,Female,62,Souvenir,1,11.73,Credit Card,9/2/2021,Kanyon,,9/2/2021,
I101314,C995203,Male,20,Food & Beverage,3,15.69,Cash,1/5/2022,Kanyon,,1/5/2022,
I101316,C100544,Female,40,Cosmetics,3,121.98,Debit Card,24-06-2022,Metrocity,,24-06-2022,
I101318,C156439,Female,27,Clothing,1,300.08,Debit Card,6/3/2021,Metrocity,,6/3/2021,
I101320,C264902,Male,18,Books,3,45.45,Cash,12/4/2022,Mall of Istanbul,,12/4/2022,
I101325,C101956,Female,27,Souvenir,1,11.73,Cash,25-02-2021,Mall of Istanbul,,25-02-2021,
I101328,C468550,Male,52,Clothing,2,600.16,Cash,24-07-2022,Viaport Outlet,,24-07-2022,
I101339,C162091,Female,51,Clothing,4,1200.32,Credit Card,21-04-2021,Forum Istanbul,,21-04-2021,
I101343,C180911,Female,50,Toys,4,143.36,Debit Card,2/6/2021,Viaport Outlet,,2/6/2021,
I101344,C107378,Male,54,Shoes,4,2400.68,Credit Card,5/9/2022,Kanyon,,5/9/2022,
I101347,C280063,Female,58,Toys,2,71.68,Credit Card,26-09-2021,Kanyon,,26-09-2021,
I101348,C126235,Female,67,Clothing,4,1200.32,Credit Card,31-08-2022,Mall of Istanbul,,31-08-2022,
I101351,C726291,Female,52,Cosmetics,4,162.64,Cash,10/6/2021,Viaport Outlet,,10/6/2021,
I101352,C548721,Female,26,Cosmetics,2,81.32,Cash,22-01-2021,Metropol AVM,,22-01-2021,
I101353,C246402,Female,24,Cosmetics,2,81.32,Debit Card,25-03-2022,Istinye Park,,25-03-2022,
I101354,C235189,Female,65,Cosmetics,2,81.32,Debit Card,12/9/2022,Emaar Square Mall,,12/9/2022,
I101356,C227436,Male,38,Cosmetics,1,40.66,Cash,23-03-2022,Metrocity,,23-03-2022,
I101359,C269676,Male,42,Shoes,3,1800.51,Cash,8/12/2021,Metropol AVM,,8/12/2021,
I101360,C540352,Female,39,Shoes,5,3000.85,Credit Card,11/7/2021,Mall of Istanbul,,11/7/2021,
I101361,C184579,Male,39,Clothing,4,1200.32,Cash,29-05-2021,Istinye Park,,29-05-2021,
I101363,C182070,Male,18,Clothing,2,600.16,Credit Card,26-11-2022,Metrocity,,26-11-2022,
I101366,C927671,Female,47,Clothing,2,600.16,Credit Card,19-10-2021,Kanyon,,19-10-2021,
I101368,C236364,Male,60,Books,4,60.6,Credit Card,7/2/2021,Istinye Park,,7/2/2021,
I101370,C313925,Female,59,Toys,5,179.2,Credit Card,22-10-2021,Kanyon,,22-10-2021,
I101372,C180019,Female,22,Toys,5,179.2,Credit Card,5/6/2021,Forum Istanbul,,5/6/2021,
I101378,C241757,Female,47,Books,3,45.45,Cash,30-12-2021,Metrocity,,30-12-2021,
I101379,C275478,Female,61,Clothing,1,300.08,Cash,16-01-2023,Kanyon,,16-01-2023,
I101383,C151482,Female,29,Cosmetics,5,203.3,Credit Card,25-04-2022,Metrocity,,25-04-2022,
I101390,C314514,Female,35,Cosmetics,3,121.98,Cash,8/9/2021,Mall of Istanbul,,8/9/2021,
I101393,C109321,Female,55,Food & Beverage,3,15.69,Debit Card,31-07-2022,Kanyon,,31-07-2022,
I101394,C321439,Female,24,Books,1,15.15,Cash,7/6/2022,Metropol AVM,,7/6/2022,
I101398,C152504,Female,27,Cosmetics,2,81.32,Credit Card,14-09-2022,Mall of Istanbul,,14-09-2022,
I101407,C323409,Female,32,Clothing,5,1500.4,Cash,16-07-2022,Viaport Outlet,,16-07-2022,
I101409,C431191,Female,21,Clothing,3,900.24,Debit Card,10/11/2022,Kanyon,,10/11/2022,
I101410,C177708,Female,63,Clothing,3,900.24,Cash,13-06-2022,Istinye Park,,13-06-2022,
I101414,C104129,Female,20,Clothing,4,1200.32,Cash,12/8/2021,Metrocity,,12/8/2021,
I101418,C127683,Female,50,Clothing,3,900.24,Credit Card,27-02-2021,Emaar Square Mall,,27-02-2021,
I101419,C502529,Male,54,Toys,2,71.68,Credit Card,11/3/2021,Istinye Park,,11/3/2021,
I101423,C666388,Male,52,Books,3,45.45,Cash,3/2/2023,Viaport Outlet,,3/2/2023,
I101426,C262766,Female,67,Cosmetics,3,121.98,Cash,29-04-2021,Kanyon,,29-04-2021,
I101428,C197332,Female,21,Clothing,5,1500.4,Debit Card,8/7/2021,Mall of Istanbul,,8/7/2021,
I101429,C148693,Female,50,Books,4,60.6,Credit Card,17-04-2021,Mall of Istanbul,,17-04-2021,
I101433,C208860,Male,40,Food & Beverage,3,15.69,Credit Card,10/8/2022,Mall of Istanbul,,10/8/2022,
I101434,C310631,Male,30,Books,5,75.75,Cash,29-11-2021,Mall of Istanbul,,29-11-2021,
I101435,C245633,Female,29,Toys,2,71.68,Credit Card,4/8/2022,Metropol AVM,,4/8/2022,
I101442,C837574,Female,29,Cosmetics,4,162.64,Credit Card,5/9/2021,Mall of Istanbul,,5/9/2021,
I101444,C335486,Female,51,Souvenir,5,58.65,Debit Card,17-12-2021,Emaar Square Mall,,17-12-2021,
I101445,C171342,Female,18,Cosmetics,4,162.64,Credit Card,2/5/2022,Kanyon,,2/5/2022,
I101449,C220137,Male,33,Cosmetics,4,162.64,Credit Card,5/12/2021,Metrocity,,5/12/2021,
I101452,C231594,Male,45,Clothing,2,600.16,Credit Card,15-10-2021,Emaar Square Mall,,15-10-2021,
I101453,C666613,Female,65,Cosmetics,1,40.66,Debit Card,9/4/2021,Kanyon,,9/4/2021,
I101454,C118691,Female,53,Clothing,3,900.24,Cash,20-04-2022,Istinye Park,,20-04-2022,
I101455,C154531,Male,69,Technology,3,3150,Cash,28-02-2022,Kanyon,,28-02-2022,
I101456,C283434,Male,36,Technology,4,4200,Credit Card,26-12-2022,Kanyon,,26-12-2022,
I101458,C113888,Female,35,Clothing,1,300.08,Cash,21-07-2022,Metrocity,,21-07-2022,
I101460,C247762,Female,45,Clothing,5,1500.4,Cash,11/1/2022,Zorlu Center,,11/1/2022,
I101465,C250819,Female,23,Clothing,2,600.16,Credit Card,16-06-2021,Metrocity,,16-06-2021,
I101466,C314331,Female,36,Clothing,2,600.16,Cash,29-09-2022,Emaar Square Mall,,29-09-2022,
I101467,C155383,Female,54,Toys,4,143.36,Cash,4/7/2022,Metropol AVM,,4/7/2022,
I101472,C216194,Female,45,Clothing,4,1200.32,Cash,6/7/2021,Metrocity,,6/7/2021,
I101475,C204569,Female,54,Souvenir,3,35.19,Credit Card,4/8/2021,Kanyon,,4/8/2021,
I101476,C295108,Female,59,Toys,2,71.68,Cash,6/5/2022,Istinye Park,,6/5/2022,
I101480,C145217,Female,29,Books,1,15.15,Credit Card,15-01-2023,Metrocity,,15-01-2023,
I101483,C670088,Female,54,Books,2,30.3,Cash,14-01-2022,Viaport Outlet,,14-01-2022,
I101489,C287411,Male,56,Toys,1,35.84,Credit Card,14-03-2022,Zorlu Center,,14-03-2022,
I101498,C431849,Female,52,Clothing,2,600.16,Debit Card,30-08-2021,Mall of Istanbul,,30-08-2021,
I101499,C208394,Male,52,Clothing,4,1200.32,Cash,16-06-2022,Kanyon,,16-06-2022,
I101509,C416542,Female,48,Food & Beverage,2,10.46,Cash,23-04-2022,Istinye Park,,23-04-2022,
I101511,C286261,Male,58,Food & Beverage,4,20.92,Credit Card,6/10/2021,Kanyon,,6/10/2021,
I101512,C657278,Female,43,Clothing,4,1200.32,Cash,30-07-2021,Kanyon,,30-07-2021,
I101518,C107937,Female,37,Toys,4,143.36,Cash,9/4/2022,Mall of Istanbul,,9/4/2022,
I101520,C260507,Female,32,Clothing,1,300.08,Debit Card,12/3/2021,Kanyon,,12/3/2021,
I101521,C234258,Male,54,Clothing,5,1500.4,Debit Card,28-03-2022,Forum Istanbul,,28-03-2022,
I101525,C616099,Female,69,Clothing,3,900.24,Cash,22-10-2021,Zorlu Center,,22-10-2021,
I101526,C332894,Female,24,Clothing,5,1500.4,Cash,18-08-2022,Forum Istanbul,,18-08-2022,
I101528,C149902,Female,60,Technology,5,5250,Cash,19-05-2022,Zorlu Center,,19-05-2022,
I101529,C203227,Female,20,Toys,5,179.2,Debit Card,17-01-2021,Metrocity,,17-01-2021,
I101532,C128002,Male,56,Toys,3,107.52,Cash,1/7/2022,Cevahir AVM,,1/7/2022,
I101535,C219503,Female,39,Cosmetics,4,162.64,Credit Card,1/3/2023,Istinye Park,,1/3/2023,
I101536,C323102,Female,66,Toys,2,71.68,Credit Card,7/12/2022,Emaar Square Mall,,7/12/2022,
I101537,C168070,Female,26,Souvenir,1,11.73,Credit Card,6/11/2021,Cevahir AVM,,6/11/2021,
I101541,C210572,Female,58,Clothing,3,900.24,Debit Card,13-12-2021,Istinye Park,,13-12-2021,
I101544,C208879,Female,48,Cosmetics,2,81.32,Credit Card,13-02-2021,Metrocity,,13-02-2021,
I101546,C121708,Female,45,Shoes,2,1200.34,Credit Card,18-02-2023,Metrocity,,18-02-2023,
I101549,C311614,Female,45,Toys,3,107.52,Debit Card,20-07-2021,Zorlu Center,,20-07-2021,
I101551,C164448,Female,45,Clothing,2,600.16,Debit Card,27-12-2021,Metrocity,,27-12-2021,
I101554,C273482,Female,41,Clothing,2,600.16,Cash,1/8/2021,Emaar Square Mall,,1/8/2021,
I101555,C758873,Female,25,Cosmetics,5,203.3,Debit Card,5/6/2022,Kanyon,,5/6/2022,
I101569,C148240,Male,21,Toys,2,71.68,Credit Card,14-07-2022,Emaar Square Mall,,14-07-2022,
I101572,C210353,Female,50,Clothing,4,1200.32,Cash,6/11/2022,Metropol AVM,,6/11/2022,
I101573,C150669,Female,57,Cosmetics,4,162.64,Cash,28-07-2022,Cevahir AVM,,28-07-2022,
I101574,C178897,Female,32,Food & Beverage,2,10.46,Credit Card,2/2/2023,Kanyon,,2/2/2023,
I101576,C262719,Male,58,Clothing,1,300.08,Debit Card,12/8/2021,Kanyon,,12/8/2021,
I101578,C302346,Female,61,Books,3,45.45,Cash,4/3/2023,Metrocity,,4/3/2023,
I101580,C266174,Male,47,Clothing,4,1200.32,Debit Card,3/4/2021,Kanyon,,3/4/2021,
I101585,C157226,Female,65,Books,3,45.45,Credit Card,26-09-2022,Mall of Istanbul,,26-09-2022,
I101587,C434876,Female,53,Technology,5,5250,Cash,11/1/2022,Metropol AVM,,11/1/2022,
I101588,C769285,Female,63,Clothing,3,900.24,Cash,17-05-2021,Kanyon,,17-05-2021,
I101592,C228966,Female,54,Books,1,15.15,Credit Card,25-10-2021,Kanyon,,25-10-2021,
I101594,C117752,Female,50,Shoes,3,1800.51,Cash,8/8/2021,Cevahir AVM,,8/8/2021,
I101596,C309263,Female,43,Books,5,75.75,Cash,30-08-2021,Kanyon,,30-08-2021,
I101598,C338372,Female,59,Cosmetics,2,81.32,Credit Card,30-07-2021,Metrocity,,30-07-2021,
I101603,C309591,Male,67,Toys,2,71.68,Cash,5/10/2021,Kanyon,,5/10/2021,
I101605,C756859,Female,30,Clothing,2,600.16,Cash,25-01-2023,Mall of Istanbul,,25-01-2023,
I101606,C279630,Male,25,Clothing,1,300.08,Cash,28-11-2021,Mall of Istanbul,,28-11-2021,
I101612,C185174,Male,39,Toys,3,107.52,Credit Card,28-12-2022,Metrocity,,28-12-2022,
I101618,C203219,Male,24,Clothing,1,300.08,Cash,10/1/2021,Kanyon,,10/1/2021,
I101620,C104200,Female,69,Clothing,4,1200.32,Debit Card,12/8/2021,Kanyon,,12/8/2021,
I101621,C325188,Female,18,Souvenir,4,46.92,Cash,19-03-2022,Kanyon,,19-03-2022,
I101624,C115743,Male,62,Cosmetics,3,121.98,Cash,15-10-2021,Kanyon,,15-10-2021,
I101627,C144374,Male,59,Food & Beverage,2,10.46,Debit Card,26-08-2022,Zorlu Center,,26-08-2022,
I101629,C102585,Male,41,Cosmetics,3,121.98,Cash,25-09-2021,Mall of Istanbul,,25-09-2021,
I101634,C318714,Female,19,Clothing,1,300.08,Debit Card,11/3/2022,Metrocity,,11/3/2022,
I101635,C695700,Female,18,Toys,5,179.2,Cash,3/6/2022,Forum Istanbul,,3/6/2022,
I101638,C217867,Female,27,Technology,2,2100,Cash,22-07-2022,Metrocity,,22-07-2022,
I101641,C483550,Male,37,Toys,3,107.52,Credit Card,6/12/2021,Cevahir AVM,,6/12/2021,
I101642,C296856,Female,39,Clothing,4,1200.32,Debit Card,22-10-2021,Mall of Istanbul,,22-10-2021,
I101645,C683241,Female,63,Clothing,4,1200.32,Credit Card,10/11/2022,Metrocity,,10/11/2022,
I101649,C801987,Male,41,Technology,3,3150,Cash,12/11/2021,Metropol AVM,,12/11/2021,
I101653,C185129,Female,68,Souvenir,2,23.46,Cash,10/4/2021,Kanyon,,10/4/2021,
I101658,C254846,Female,63,Cosmetics,1,40.66,Credit Card,18-09-2021,Mall of Istanbul,,18-09-2021,
I101659,C197249,Female,67,Shoes,5,3000.85,Cash,29-11-2022,Viaport Outlet,,29-11-2022,
I101661,C156543,Female,45,Clothing,4,1200.32,Cash,6/8/2022,Emaar Square Mall,,6/8/2022,
I101667,C142998,Female,41,Souvenir,5,58.65,Credit Card,14-09-2022,Metrocity,,14-09-2022,
